Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,establishment_age,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Item_MRP_Categories,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
FDA15,9.3,Low Fat,0.016047301,Drinks,249.8092,OUT049,20,1,2,3735.138,4,False,True,False,False
DRC01,5.92,NA,0.019278216,Drinks,48.2692,OUT018,10,1,0,443.4228,1,False,False,True,False
FDN15,17.5,Low Fat,0.016760075,Meats,141.618,OUT049,20,1,2,2097.27,2,False,True,False,False
FDX07,19.2,NA,0.0,Fruits and Vegetables,182.095,OUT010,21,0,0,732.38,3,True,False,False,False
NCD19,8.93,NA,0.0,Non perishable,53.8614,OUT013,32,2,0,994.7052,1,False,True,False,False
FDP36,10.395,Regular,0.0,Processed Foods,51.4008,OUT018,10,1,0,556.6088,1,False,False,True,False
FDO10,13.65,Regular,0.012741089,Processed Foods,57.6588,OUT013,32,2,0,343.5528,1,False,True,False,False
FDP10,19.0,Low Fat,0.127469857,Processed Foods,107.7622,OUT027,34,1,0,4022.7636,2,False,False,False,True
FDH17,16.2,Regular,0.016687114,Processed Foods,96.9726,OUT045,17,0,1,1076.5986,2,False,True,False,False
FDU28,19.2,Regular,0.09444959,Processed Foods,187.8214,OUT017,12,0,1,4710.535,4,False,True,False,False
FDY07,11.8,NA,0.0,Fruits and Vegetables,45.5402,OUT049,20,1,2,1516.0266,1,False,True,False,False
FDA03,18.5,Regular,0.045463773,Drinks,144.1102,OUT046,22,0,2,2187.153,3,False,True,False,False
FDX32,15.1,NA,0.1000135,Fruits and Vegetables,145.4786,OUT049,20,1,2,1589.2646,3,False,True,False,False
FDS46,17.6,Regular,0.047257328,Processed Foods,119.6782,OUT046,22,0,2,2145.2076,2,False,True,False,False
FDF32,16.35,NA,0.0680243,Fruits and Vegetables,196.4426,OUT013,32,2,0,1977.426,4,False,True,False,False
FDP49,9.0,Regular,0.069088961,Starchy Foods,56.3614,OUT046,22,0,2,1547.3192,1,False,True,False,False
NCB42,11.8,NA,0.008596051,Non perishable,115.3492,OUT018,10,1,0,1621.8888,2,False,False,True,False
FDP49,9.0,Regular,0.069196376,Starchy Foods,54.3614,OUT049,20,1,2,718.3982,1,False,True,False,False
DRI11,8.26,NA,0.034237682,Drinks,113.2834,OUT027,34,1,0,2303.668,2,False,False,False,True
FDU02,13.35,Low Fat,0.10249212,Drinks,230.5352,OUT035,15,0,1,2748.4224,4,False,True,False,False
FDN22,18.85,Regular,0.138190277,Processed Foods,250.8724,OUT013,32,2,0,3775.086,4,False,True,False,False
FDW12,8.315,Regular,0.035399923,Processed Foods,144.5444,OUT027,34,1,0,4064.0432,3,False,False,False,True
NCB30,14.6,NA,0.025698134,Non perishable,196.5084,OUT035,15,0,1,1587.2672,4,False,True,False,False
FDC37,15.5,Low Fat,0.057556998,Processed Foods,107.6938,OUT019,34,0,2,214.3876,2,True,False,False,False
FDR28,13.85,Regular,0.025896485,Processed Foods,165.021,OUT046,22,0,2,4078.025,3,False,True,False,False
NCD06,13.0,NA,0.099887103,Non perishable,45.906,OUT017,12,0,1,838.908,1,False,True,False,False
FDV10,7.645,Regular,0.066693437,Processed Foods,42.3112,OUT035,15,0,1,1065.28,1,False,True,False,False
DRJ59,11.65,NA,0.019356132,Drinks,39.1164,OUT013,32,2,0,308.9312,1,False,True,False,False
FDE51,5.925,Regular,0.161466534,Drinks,45.5086,OUT010,21,0,0,178.4344,1,True,False,False,False
FDC14,14.5,Regular,0.072221801,Processed Foods,43.6454,OUT019,34,0,2,125.8362,1,True,False,False,False
FDV38,19.25,Low Fat,0.170348551,Drinks,55.7956,OUT010,21,0,0,163.7868,1,True,False,False,False
