,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_Predicted
0,FDA15,OUT049,3654.448368039898
1,DRC01,OUT018,802.1290830308682
2,FDN15,OUT049,1984.5427733455278
3,FDX07,OUT010,786.1453435075039
4,NCD19,OUT013,1103.8967385898793
5,FDP36,OUT018,797.6995938557237
6,FDO10,OUT013,1088.9128736462587
7,FDP10,OUT027,3266.303591340311
8,FDH17,OUT045,1889.2155281161072
9,FDU28,OUT017,3561.68574504962
10,FDY07,OUT049,1177.7893503758328
11,FDA03,OUT046,2674.755142296166
12,FDX32,OUT049,2789.462149137117
13,FDS46,OUT046,1851.0190163249263
14,FDF32,OUT013,3541.207800969105
15,FDP49,OUT046,1038.9992336297316
16,NCB42,OUT018,1617.0183663256596
17,FDP49,OUT049,1162.7479402164163
18,DRI11,OUT027,3320.426877135752
19,FDU02,OUT035,3540.929900535075
20,FDN22,OUT013,3513.499465569126
21,FDW12,OUT027,4145.212802930118
22,NCB30,OUT035,3561.9561224340296
23,FDC37,OUT019,-131.13902495053685
24,FDR28,OUT046,2691.7039357182402
25,NCD06,OUT017,1098.624963991897
26,FDV10,OUT035,1089.570704905635
27,DRJ59,OUT013,1091.5163693088134
28,FDE51,OUT010,-883.7791026017364
29,FDC14,OUT019,-958.6547831652226
30,FDV38,OUT010,-917.6348312055168
31,NCS17,OUT018,1578.6338061391473
32,FDP33,OUT018,3254.1542398165766
33,FDO23,OUT045,1065.2921844771804
34,DRH01,OUT046,2660.7385555989968
35,NCX29,OUT049,2804.7031472825147
36,FDV20,OUT027,3284.691639446135
37,DRZ11,OUT018,1591.3114477593806
38,FDX10,OUT027,2471.8159839783975
39,FDB34,OUT027,2481.2613204144245
40,FDU02,OUT046,3494.2603947099733
41,FDK43,OUT013,1918.7823652425518
42,FDA46,OUT049,3612.687069486935
43,FDC02,OUT018,3226.427423934385
44,FDL50,OUT013,1908.4800771962045
45,FDM39,OUT010,788.0569441369178
46,NCP05,OUT045,2711.762714372183
47,FDV49,OUT045,3551.367024843392
48,FDL12,OUT046,1006.6367293608971
49,FDS02,OUT019,1470.1096434174403
50,NCL17,OUT046,2693.7166617874436
51,FDM40,OUT013,1876.399384569759
52,FDR13,OUT013,1917.9750660593731
53,FDA43,OUT017,3590.2295521699953
54,NCP18,OUT017,2773.3367747021466
55,FDK21,OUT018,3276.204119590244
56,NCX54,OUT045,1895.7462202248403
57,DRK35,OUT049,1163.3682972645015
58,FDY21,OUT046,3468.051159343134
59,FDI26,OUT019,715.3414991922507
60,FDM20,OUT018,3274.450893913471
61,FDV27,OUT045,1075.8485606140473
62,FDF09,OUT027,2506.826221991216
63,FDY40,OUT019,-985.3261566702131
64,FDY45,OUT027,4951.987081808916
65,FDC46,OUT010,728.827464840015
66,FDH19,OUT035,2723.295852504575
67,FDZ03,OUT045,3526.306861702852
68,DRH37,OUT045,2703.42737883854
69,NCI17,OUT046,1841.9286777926534
70,FDJ58,OUT046,2662.8665075877852
71,FDL12,OUT013,1049.8623083345879
72,FDH35,OUT045,2714.9121951803218
73,FDG02,OUT017,3614.0692204383895
74,NCZ18,OUT049,3604.791197288424
75,FDC29,OUT046,1879.69239660926
76,FDQ10,OUT049,2815.532422812157
77,FDN48,OUT019,-968.9100802733744
78,FDL04,OUT017,1905.95386930953
79,FDV25,OUT045,3568.9890425601143
80,FDD58,OUT046,1870.20434634405
81,FDN04,OUT046,2700.1683593504467
82,FDV45,OUT018,3244.601634189792
83,NCL18,OUT019,1438.0634122976896
84,FDR12,OUT027,4136.468789831597
85,FDG20,OUT017,2735.0800921144673
86,FDZ55,OUT035,2756.7063096608
87,FDQ49,OUT027,4116.345312591026
88,FDN33,OUT046,1853.718945235903
89,FDN27,OUT049,1969.5990040178365
90,FDW20,OUT010,-55.34962004281829
91,DRG27,OUT049,1151.7447814595175
92,DRI25,OUT045,1050.6184830589018
93,FDA44,OUT035,1065.6499729847355
94,NCR17,OUT035,1923.012450243038
95,FDU04,OUT019,-98.56256088819896
96,FDF41,OUT049,3611.840494782814
97,FDB56,OUT035,3560.353435860661
98,NCP18,OUT027,4138.429710136175
99,FDB56,OUT046,3513.6855740225838
100,FDT28,OUT045,2706.6017874782483
101,FDD10,OUT027,4113.310725463387
102,FDW57,OUT049,2800.3632020545083
103,DRB48,OUT013,1077.9108433135402
104,FDP09,OUT018,3241.095608766609
105,FDH14,OUT013,1895.5315730167101
106,FDA47,OUT013,2714.441554392759
107,FDG12,OUT045,1916.7327997731236
108,DRE60,OUT019,1464.6246152896772
109,DRK49,OUT013,1080.5217369528746
110,FDD03,OUT046,3501.4559567400265
111,FDS52,OUT017,1962.9157629795075
112,FDW39,OUT019,712.4871190784727
113,FDX34,OUT027,3313.5842816638697
114,FDV11,OUT045,2736.2586762132614
115,FDD17,OUT049,3653.4627480406416
116,FDZ16,OUT017,3546.4942617717597
117,FDZ46,OUT035,1914.4669463924088
118,DRA12,OUT017,1945.471843851196
119,FDY58,OUT018,3258.1052339249045
120,NCF19,OUT017,1118.7592939696399
121,DRJ13,OUT045,2708.329349401678
122,FDB14,OUT010,-920.463573141187
123,FDJ38,OUT035,3571.433147408161
124,FDW11,OUT017,1115.405358122597
125,FDL40,OUT035,1908.562812975707
126,DRI49,OUT046,991.3118268563153
127,FDV38,OUT017,1083.2763157674985
128,DRG23,OUT013,2727.5329237567266
129,NCP30,OUT045,1048.872708227876
130,FDY25,OUT027,4137.111611396781
131,NCH54,OUT046,2677.9379521309647
132,NCR53,OUT027,4927.578269629633
133,FDS52,OUT010,-17.93540724948707
134,FDG02,OUT018,3275.929822673157
135,NCO26,OUT046,1865.9720344222726
136,FDH35,OUT027,4114.37872498998
137,FDB51,OUT045,1078.7779992910325
138,FDX44,OUT017,1124.9274813560542
139,NCN07,OUT010,-55.21211335839689
140,NCC31,OUT035,2753.848421042093
141,NCX54,OUT017,1948.8520846020656
142,NCO55,OUT045,1873.9095210395642
143,NCC30,OUT049,2808.532527211778
144,FDI16,OUT035,1095.538129674477
145,FDP16,OUT049,3625.484902864955
146,FDB11,OUT035,3547.7347396461655
147,NCB06,OUT035,2712.0285155543197
148,FDA45,OUT035,2680.7431771495985
149,NCO26,OUT035,1912.6400278291958
150,DRJ25,OUT017,1078.8258560626045
151,FDR28,OUT018,2432.0856926497736
152,FDI04,OUT018,3243.1107910678793
153,DRK12,OUT027,2489.936015207867
154,FDX20,OUT046,3526.9143655474263
155,NCI18,OUT018,3250.5806262784736
156,FDB36,OUT018,1634.4776262782214
157,FDN13,OUT017,1894.303244133535
158,DRD24,OUT017,1943.4053754522738
159,FDQ28,OUT013,2723.797938518336
160,FDM22,OUT013,1078.9982121671756
161,FDR07,OUT027,3276.441821412128
162,FDV25,OUT018,3269.7131329733757
163,DRF49,OUT046,1867.6917174088794
164,FDW51,OUT046,3513.493900022954
165,DRL01,OUT017,3566.2363777328765
166,FDP25,OUT017,3593.815151440982
167,FDL50,OUT018,1605.6359851573163
168,NCB30,OUT027,4958.888876455705
169,FDW11,OUT018,777.2844766458824
170,NCM43,OUT035,2738.8540693970945
171,FDK44,OUT017,2733.5988263036015
172,FDM15,OUT013,2729.8666780861204
173,FDS31,OUT013,2730.954942625389
174,FDI32,OUT010,-126.62802297808457
175,FDR47,OUT010,1614.5714194165678
176,FDB35,OUT045,1058.052642303271
177,NCU05,OUT010,-877.7953334622291
178,DRY23,OUT019,-983.7813551168172
179,FDO24,OUT045,2676.5418061581786
180,FDQ28,OUT027,4124.238396921781
181,FDV39,OUT045,3554.128497473127
182,NCO17,OUT019,-140.41931197028293
183,FDU50,OUT013,1913.1754575930215
184,FDT12,OUT027,4971.029520301139
185,FDK58,OUT018,1606.6666787066795
186,FDO08,OUT019,692.9926099867878
187,NCW29,OUT049,1988.9207328975992
188,FDE04,OUT045,2705.782242460091
189,NCB19,OUT049,1161.8999855609413
